Título;Ubicación;Valor Alquiler;Expensas;Metros Cuadrados;Ambientes;Dormitorios;Baños;Cocheras
Avenida Paseo Colón 1019;San Telmo, Capital Federal;USD 550;$ 150.000 Expensas;60;3;2;1;0
bernaldez;Monte Castro, Capital Federal;$ 280.000;$ 19.300 Expensas;33;2;1;1;0
FRANKLIN 1000. Entre Cucha cucha y Pujol;Caballito, Capital Federal;$ 600.000;$ 110.000 Expensas;44;2;1;1;0
Ecuador al 500;Once, Capital Federal;$ 390.000;$ 55.000 Expensas;30;1;0;1;0
Salguero  1900 8°;Barrio Norte, Capital Federal;$ 875.000;$ 195.000 Expensas;60;3;2;2;0
Montevideo  500 3°;Tribunales, Capital Federal;$ 450.000;$ 52.000 Expensas;31;1;0;1;0
Arenales  2800;Barrio Norte, Capital Federal;$ 530.000;$ 120.000 Expensas;45;2;1;1;0
Arenales  2800;Palermo, Capital Federal;$ 530.000;$ 120.000 Expensas;45;2;1;1;0
Talcahuano al 800;Retiro, Capital Federal;USD 700;$ 250.000 Expensas;95;4;3;2;0
cucha cucha;La Paternal, Capital Federal;$ 380.000;$ 150.000 Expensas;45;2;1;1;0
Yatay  al 400;Almagro, Capital Federal;$ 550.000;$ 90.000 Expensas;40;2;1;1;0
Av. Almafuerte 679;Parque Patricios, Capital Federal;$ 500.000;$ 130.000 Expensas;45;3;2;1;0
Nogoya;Villa del Parque, Capital Federal;$ 360.000;$ 80 Expensas;35;0;0;1;0
Beruti 3600;Palermo, Capital Federal;$ 850.000;$ 334.000 Expensas;96;3;2;1;1
ACHAVAL;Parque Chacabuco, Capital Federal;$ 470.000;;36;2;1;1;0
Av San Martin al 5200;Villa del Parque, Capital Federal;$ 420.000;$ 119.000 Expensas;30;1;0;1;0
Carlos Calvo al 1500;San Telmo, Capital Federal;USD 1.000;$ 95.400 Expensas;70;3;2;2;0
Andres Ferreyra 3983;Pompeya, Capital Federal;$ 550.000;$ 130.000 Expensas;50;3;2;1;0
Baldomero Fernandez moreno;Parque Chacabuco, Capital Federal;$ 700.000;$ 250.000 Expensas;90;4;3;1;0
Hidalgo  300 8°;Caballito, Capital Federal;$ 500.000;$ 110.000 Expensas;39;1;0;1;0
SANCHEZ DE BUSTAMANTE 1300. Entre Paraguay y Soler;Recoleta, Capital Federal;$ 495.000;;29;1;0;1;0
Avenida Córdoba 4800;Villa Crespo, Capital Federal;USD 650;$ 130.000 Expensas;49;2;1;1;0
Florida al 800;Retiro, Capital Federal;$ 490.000;$ 169.000 Expensas;35;2;1;1;0
Florida al 800;Retiro, Capital Federal;$ 540.000;$ 169.000 Expensas;38;2;1;1;0
Gallo al 1400;Barrio Norte, Capital Federal;$ 600.000;$ 224.000 Expensas;80;3;2;1;0
Beruti  3700 1°;Palermo, Capital Federal;$ 700.000;$ 95.000 Expensas;65;3;2;1;0
Migueletes al 1700;Belgrano, Capital Federal;USD 900;$ 245.000 Expensas;82;2;1;1;0
1485 humberto primero;Monserrat, Capital Federal;$ 340.000;$ 100.000 Expensas;39;0;0;1;0
Cabildo, Avda. Entre Azurduy y Pedraza, Manuela;Núñez, Capital Federal;USD 1.000;;43;1;0;1;0
Av. Nazca 4881, C1419DFM Cdad. Autónoma de Buenos Aires, Argentina, Villa Pueyrredón, Capital Federal, Argentina.;Villa Pueyrredón, Capital Federal;$ 365.000;$ 118.000 Expensas;43;1;1;1;0
PALPA 2437;Belgrano C, Belgrano;$ 630.000;$ 150.000 Expensas;43;2;1;1;0
QUIRNO COSTA 1200;Barrio Norte, Capital Federal;$ 450.000;$ 111.000 Expensas;41;2;1;1;0
luis saenz peña;Monserrat, Capital Federal;$ 340.000;$ 100.000 Expensas;37;0;0;0;0
Republica Arabe Siria al 3200;Palermo, Capital Federal;$ 850.000;$ 130.000 Expensas;58;3;2;1;0
Franklin al 2300;Caballito, Capital Federal;$ 370.000;$ 57.000 Expensas;13;1;0;1;0
Alvarez Thomas  1400 7°;Colegiales, Capital Federal;$ 800.000;;76;4;3;2;0
Uruguay 1200;Recoleta, Capital Federal;USD 1.700;$ 563.700 Expensas;178;4;3;2;1
Altolaguirre al 2500;Villa Urquiza, Capital Federal;$ 500.000;;32;1;0;1;0
Paraguay 3870;Palermo Viejo, Palermo;$ 600.000;$ 100.000 Expensas;40;2;1;1;0
Cramer Pj  2700;Belgrano, Capital Federal;USD 750;$ 180.000 Expensas;40;2;1;1;1
Juana Manso 600;Puerto Madero, Capital Federal;USD 1.600;;65;2;1;2;1
Thames 100;Villa Crespo, Capital Federal;$ 780.000;$ 95.000 Expensas;60;3;2;2;0
Panamá 900;Almagro, Capital Federal;$ 470.000;$ 66.000 Expensas;35;2;1;1;0
Pedro Ignacio Rivera 5850;Villa Urquiza, Capital Federal;$ 370.000;$ 60.000 Expensas;34;1;0;1;0
Curapaligue 153;Caballito Sur, Caballito;$ 950.000;$ 160.000 Expensas;95;2;1;1;1
3 de Febrero al 2900 5º;Núñez, Capital Federal;$ 600.000;$ 69.000 Expensas;43;2;1;1;0
Virrey Aviles 3800;Villa Ortuzar, Capital Federal;$ 840.000;;38;2;1;1;0
Alquiler Semi Amoblado 4 Ambientes Levene 900;Recoleta, Capital Federal;USD 2.000;$ 580.000 Expensas;168;5;4;2;1
Alquiler Semi Amoblado 4 Ambientes Levene 900;Palermo, Capital Federal;USD 2.000;$ 500.000 Expensas;168;5;4;2;1
Pasaje Tasso  al 2600 Entre Avalos y Gamarra;Parque Chas, Capital Federal;$ 600.000;$ 90.000 Expensas;38;2;1;1;0
Paraguay 1900;Barrio Norte, Capital Federal;$ 300.000;$ 90.000 Expensas;22;1;1;1;0
Av Dellepiane Sur  4200;Villa Lugano, Capital Federal;$ 440.000;;60;3;2;1;0
AV. DIRECTOIRO 2800. Entre Av. san pedrito y Lafuente;Flores, Capital Federal;$ 330.000;$ 120.000 Expensas;41;1;0;1;0
Humerto Primo al 1200;San Cristobal, Capital Federal;$ 640.000;$ 170.000 Expensas;68;3;2;1;0
Avenida Boedo al 1500;Boedo, Capital Federal;$ 430.000;$ 95.000 Expensas;46;2;1;1;0
Avenida Boedo al 1500;San Cristobal, Capital Federal;$ 430.000;$ 95.000 Expensas;46;2;1;1;0
Avenida Boedo al 1500;Caballito, Capital Federal;$ 430.000;$ 95.000 Expensas;46;2;1;1;0
Avenida Boedo al 1500;Almagro, Capital Federal;$ 430.000;$ 95.000 Expensas;46;2;1;1;0
Avenida Boedo al 1500;Parque Patricios, Capital Federal;$ 430.000;$ 95.000 Expensas;46;2;1;1;0
Honorio Pueyrredón 659;Cid Campeador, Caballito;$ 500.000;$ 80.000 Expensas;40;2;1;1;0
Billinghurst  al 1100;Palermo Viejo, Palermo;$ 750.000;$ 240.000 Expensas;45;2;1;1;1
Guatemala  al 4800;Palermo Soho, Palermo;USD 1.800;;97;4;3;2;1
Ohiggins  al 2700;Belgrano, Capital Federal;USD 1.900;;146;4;3;2;1
Santa fe  al 5200;Palermo, Capital Federal;$ 700.000;$ 111.000 Expensas;50;2;1;1;0
Crisologo Larralde al 2400;Núñez, Capital Federal;$ 700.000;$ 135.000 Expensas;61;2;1;1;0
Ohiggins  al 2700;Belgrano, Capital Federal;USD 2.200;;149;4;3;2;1
Pi Y Margall  400 13°;Barracas, Capital Federal;$ 320.000;$ 88.000 Expensas;34;1;0;1;0
Guatemala al 6000;Palermo, Capital Federal;$ 650.000;$ 156.000 Expensas;49;2;1;1;0
GAONA 1300;Caballito, Capital Federal;$ 900.000;$ 285.000 Expensas;100;3;2;2;0
Vidal 2900;Núñez, Capital Federal;$ 460.000;$ 1 Expensas;34;1;0;1;0
garcia de cossio 6136;Liniers, Capital Federal;$ 380.000;$ 60.000 Expensas;34;1;1;0;0
Rondeau 3130;Parque Patricios, Capital Federal;$ 400.000;$ 55.000 Expensas;40;1;0;1;0
Muñiz 100;Boedo, Capital Federal;$ 370.000;$ 83.000 Expensas;40;2;1;1;0
Gelly 3300;Palermo Chico, Palermo;USD 2.800;$ 980.000 Expensas;160;4;3;2;2
Avenida San Juan 2100;San Cristobal, Capital Federal;$ 420.000;$ 124.000 Expensas;31;1;0;1;0
Armenia 1830;Palermo Soho, Palermo;$ 850.000;;65;2;1;1;0
Teodoro Garcia al 2600;Colegiales, Capital Federal;USD 800;$ 195.000 Expensas;58;2;1;1;0
Departamento 3 Ambientes EN Alquiler Colegiales;Colegiales, Capital Federal;USD 1.000;;75;3;2;2;0
Ugarteche  2900;Palermo, Capital Federal;$ 680.000;$ 160.000 Expensas;55;1;0;1;0
Donado 1700;Villa Ortuzar, Capital Federal;$ 400.000;$ 70.000 Expensas;39;1;0;1;0
México 55 (cag-14r6);Monserrat, Capital Federal;USD 1.200;;47;1;0;1;1
Echeverria  4500 pb;Villa Urquiza, Capital Federal;$ 750.000;$ 75.000 Expensas;85;3;2;2;0
Departamento en Alquiler - 2 Ambientes con Terraza, Las Cañitas;Belgrano, Capital Federal;USD 800;$ 253.000 Expensas;55;2;1;1;1
Bolívar;San Telmo, Capital Federal;$ 400.000;$ 105.000 Expensas;32;2;1;1;0
CUENCA 3440;Villa del Parque, Capital Federal;$ 700.000;$ 85.000 Expensas;70;3;2;1;0
LAS Heras  al 3900;Botánico, Palermo;USD 1.200;$ 400.000 Expensas;139;4;3;2;1
Ayacucho al 500;Centro / Microcentro, Capital Federal;$ 570.000;$ 120.000 Expensas;57;2;1;1;0
Rosario Vera Peñaloza  al 500;Puerto Madero, Capital Federal;USD 1.100;$ 230.000 Expensas;35;1;0;1;0
Av Libertador  al 5900;Belgrano, Capital Federal;USD 3.000;$ 600.000 Expensas;140;3;2;3;1
Crisologo Larralde 1900;Núñez, Capital Federal;$ 680.000;$ 99.500 Expensas;56;3;2;1;0
Pedro del Castillo 400;Palermo Soho, Palermo;$ 850.000;;50;2;1;1;0
Avenida Pueyrredon 1783;Recoleta, Capital Federal;USD 1.350;$ 1 Expensas;87;3;2;1;0
Franklin al 600;Cid Campeador, Caballito;$ 500.000;$ 95.000 Expensas;36;2;1;1;1
BILLINGHURST 1400;Palermo, Capital Federal;$ 400.000;$ 50.000 Expensas;25;1;0;1;0
AV. CORONEL DIAZ;Barrio Norte, Capital Federal;$ 480.000;$ 58.072 Expensas;32;2;1;0;0
Juana Azurduy al 2800;Belgrano, Capital Federal;$ 600.000;$ 35.000 Expensas;48;2;1;1;0
Juana Azurduy al 2800;Saavedra, Capital Federal;$ 600.000;$ 35.000 Expensas;48;2;1;1;0
Monroe  al 4500;Villa Urquiza, Capital Federal;USD 900;$ 200.000 Expensas;65;3;2;1;0
Avenida Cabildo 957;Belgrano C, Belgrano;$ 750.000;$ 160.000 Expensas;54;3;2;1;0
Argañaras 19;Villa Crespo, Capital Federal;$ 700.000;$ 264.000 Expensas;50;2;1;1;0
GRIVEO 3122. Entre Psje, duarte y Helguera;Villa Pueyrredón, Capital Federal;$ 500.000;$ 110.000 Expensas;43;2;1;1;0
Baez 500-las Cañitas-alquiler Tradicional-caba;Las Cañitas, Palermo;$ 1.000.000;$ 200.000 Expensas;120;3;2;1;0
paraguay 2600;Recoleta, Capital Federal;USD 780;$ 160.000 Expensas;110;4;3;2;0
Avenida Santa Fe al 2600;Recoleta, Capital Federal;$ 400.000;$ 51.000 Expensas;29;1;0;1;0
Acevedo 300;Villa Crespo, Capital Federal;$ 500.000;$ 90.000 Expensas;45;2;1;1;0
La Rioja 1100;San Cristobal, Capital Federal;$ 300.000;$ 115.000 Expensas;32;1;0;1;0
Mt de Alvear 2331;Recoleta, Capital Federal;$ 490.000;$ 119.000 Expensas;48;2;0;1;0
Gallo al 600;Almagro, Capital Federal;USD 850;$ 230.000 Expensas;60;3;2;1;0
Chivilcoy al 3200;Villa Devoto, Capital Federal;$ 650.000;$ 114.000 Expensas;52;3;2;1;0
Av. Córdoba 5400;Palermo Hollywood, Palermo;USD 700;$ 130.000 Expensas;39;1;1;1;1
Palpa al 2400;Belgrano, Capital Federal;$ 450.000;$ 110.000 Expensas;36;2;1;1;0
Cuba 2284;Belgrano, Capital Federal;USD 750;;51;2;0;1;0
Nazarre  al 2700;Villa del Parque, Capital Federal;$ 1.100.000;$ 180.000 Expensas;90;3;2;1;1
Estomba 2100;Villa Urquiza, Capital Federal;$ 410.000;$ 68.000 Expensas;25;1;0;1;0
Guatemala al 5100;Palermo, Capital Federal;USD 4.800;$ 870.000 Expensas;216;4;3;4;2
Billinghurst al 2100;Barrio Norte, Capital Federal;$ 750.000;$ 232.000 Expensas;40;3;2;1;0
Juan Domingo Peron  4200 3°;Almagro, Capital Federal;$ 650.000;$ 78.000 Expensas;50;3;2;1;0
Avenida Chorroarín 600;Parque Chas, Capital Federal;$ 600.000;$ 120.000 Expensas;57;2;1;1;0
Av Del Libertador al 2200;Palermo Chico, Palermo;USD 2.900;$ 493.000 Expensas;207;5;3;2;1
Cabildo al 2400;Belgrano, Capital Federal;$ 450.000;$ 147.000 Expensas;38;2;1;1;0
Correa 4000;Saavedra, Capital Federal;$ 450.000;$ 70.000 Expensas;37;1;0;1;0
Ecuador 600;Balvanera, Capital Federal;USD 850;$ 140 Expensas;110;4;3;2;0
Arenales  al 1600;Recoleta, Capital Federal;USD 800;$ 190.000 Expensas;65;2;1;1;0
Moreno  1900 3°;Congreso, Capital Federal;$ 410.000;$ 10.000 Expensas;56;2;1;1;0
Jorge Newbery  al 1800;Las Cañitas, Palermo;USD 1.100;;70;2;1;1;0
GALLO 900;Palermo, Capital Federal;USD 500;;29;1;0;1;0
Moreno 600;San Telmo, Capital Federal;$ 450.000;;48;2;1;1;0
Maure 3548;Colegiales, Capital Federal;$ 680.000;$ 150.000 Expensas;38;1;0;1;1
Uriburu  al 1400;Recoleta, Capital Federal;$ 500.000;$ 90.000 Expensas;40;2;1;1;0
Avenida Directorio 1400;Caballito, Capital Federal;$ 350.000;$ 123.000 Expensas;34;1;0;1;0
Manuel Ugarte 3883;Saavedra, Capital Federal;$ 380.000;$ 125.000 Expensas;29;1;0;1;0
Av.Córdoba 1584;Recoleta, Capital Federal;$ 330.000;$ 135.000 Expensas;45;1;0;1;0
Congreso 2700;Belgrano, Capital Federal;$ 700.000;$ 170.000 Expensas;55;3;2;1;0
Darregueyra 2200;Palermo, Capital Federal;USD 450;$ 120.000 Expensas;34;2;1;1;0
EMILIO MITRE 600. Entre Av. directorio y Gregorio de laferrere;Parque Chacabuco, Capital Federal;$ 480.000;$ 103.000 Expensas;34;1;0;0;0
AVENIDA DEL LIBERTADOR 5900;Belgrano, Capital Federal;USD 3.000;;145;4;2;3;0
Dirección no informada;Belgrano, Capital Federal;$ 750.000;$ 150.000 Expensas;60;2;1;1;0
Godoy Cruz al 3000;Palermo Nuevo, Palermo;USD 3.200;$ 750.000 Expensas;140;4;3;3;2
Beruti al 2800;Recoleta, Capital Federal;USD 2.200;$ 550.000 Expensas;96;3;2;3;0
Lerma 44;Villa Crespo, Capital Federal;USD 650;;35;1;1;1;0
Guemes al 4800;Palermo, Capital Federal;USD 1.100;$ 190.000 Expensas;64;3;2;1;0
Bogota 76;Caballito, Capital Federal;USD 2.000;;130;5;3;3;1
Hipolito Yrigoyen  al 3200;Balvanera, Capital Federal;$ 600.000;$ 69.029 Expensas;80;3;2;1;0
Beiro 4600;Villa Devoto, Capital Federal;$ 450.000;$ 105.000 Expensas;32;1;0;1;0
AV Cabildo;Lomas de Núñez, Núñez;$ 500.000;$ 110.000 Expensas;35;1;0;1;0
Colombres  al 900;Boedo, Capital Federal;$ 340.000;$ 90.000 Expensas;26;1;0;1;0
Venta -  Vuelta DE Obligado 3286 - Nuñez. Departamento 41mts.  A Estrenar.  Posesión Inmediata! Monoambiente con Balcón Aterrazado al Frente con Parrilla Propia. Muy Luminoso! Detalles de Caregoría!;Núñez, Capital Federal;$ 470.000;$ 100.000 Expensas;41;1;0;1;0
Terrada;Villa Pueyrredón, Capital Federal;$ 450.000;$ 75.000 Expensas;32;1;1;0;0
CUBA  3158;Núñez, Capital Federal;$ 800.000;$ 200.000 Expensas;79;3;3;1;0
Arcos y palpa;Belgrano, Capital Federal;$ 750;$ 200.000 Expensas;58;1;0;1;0
Azcuénaga  1200 1°;Recoleta, Capital Federal;USD 1.700;$ 230.000 Expensas;125;4;3;3;0
Llavallol 4700;Villa Devoto, Capital Federal;USD 500;$ 79.000 Expensas;48;2;1;1;0
Martiniano Leguizamón 0;Liniers, Capital Federal;$ 750.000;$ 120.000 Expensas;74;3;2;1;1
Argerich 700;Flores, Capital Federal;$ 350.000;$ 120.000 Expensas;36;2;1;1;0
GABRIELA MISTRAL;Villa Pueyrredón, Capital Federal;$ 470.000;$ 145.000 Expensas;65;2;1;1;0
Cochabamba 760;San Telmo, Capital Federal;$ 300.000;;24;1;1;1;0
Moldes al 900;Colegiales, Capital Federal;$ 490.000;$ 60.000 Expensas;27;1;0;1;0
Estados Unidos  al 1500;Monserrat, Capital Federal;$ 320.000;$ 50.000 Expensas;35;1;0;1;0
Avenida Pueyrredon al 1200;Recoleta, Capital Federal;$ 430.000;$ 120.000 Expensas;37;1;0;1;0
Arenales al 3400;Palermo, Capital Federal;$ 500.000;$ 120.000 Expensas;36;2;1;1;0
Avenida Santa Fe al 2200;Recoleta, Capital Federal;$ 550.000;$ 110.000 Expensas;43;1;0;1;0
Sanchez de Bustamante  al 2200;Recoleta, Capital Federal;$ 550.000;$ 150.000 Expensas;40;2;1;1;0
José Hernández al 1300;Belgrano C, Belgrano;USD 1.200;$ 230.000 Expensas;50;2;1;1;0
Guayra  2000 7°;Núñez, Capital Federal;$ 650.000;$ 153.000 Expensas;40;2;1;1;0
Ayacucho 1435;Recoleta, Capital Federal;$ 600.000;$ 235.000 Expensas;40;2;1;1;0
Marcelo T de Alvear 1200;Retiro, Capital Federal;$ 500.000;$ 92.000 Expensas;40;2;1;1;0
Plaza 1000;Villa Ortuzar, Capital Federal;USD 360.000;$ 140.000 Expensas;35;1;0;1;0
Campichuelo al 500;Caballito, Capital Federal;$ 450.000;$ 180.000 Expensas;40;2;1;1;0
Maure al 4000;Chacarita, Capital Federal;$ 525.000;$ 95.000 Expensas;42;1;1;1;0
Llerena 2400;Parque Chas, Capital Federal;$ 650.000;$ 115.000 Expensas;44;2;1;1;0
BOYACA, AVDA. 500;Flores, Capital Federal;$ 750.000;$ 160.000 Expensas;71;3;2;2;0
Paraguay al 5300;Palermo Hollywood, Palermo;USD 1.000;;90;3;2;1;0
Santa fe  al 2600;Recoleta, Capital Federal;$ 600.000;$ 79.000 Expensas;55;2;1;1;0
Cnel. Ramón L. Falcón 3312 9 B;Flores, Capital Federal;$ 450.000;$ 75.000 Expensas;37;1;1;1;1
Estomba 2100;Belgrano R, Belgrano;$ 700.000;$ 115.000 Expensas;43;2;1;1;0
Av. Sta. Fe al 3600;Botánico, Palermo;USD 750;;46;1;0;1;0
Pacheco al 2700;Villa Urquiza, Capital Federal;$ 330.000;;33;1;0;1;0
Juana Manso  al 500;Puerto Madero, Capital Federal;USD 2.500;$ 630.000 Expensas;110;3;2;2;1
Concepción Arenal al 2900;Palermo Hollywood, Palermo;USD 1.900;$ 180.000 Expensas;30;1;0;0;0
ANGEL GALLARDO 752;Caballito, Capital Federal;$ 450.000;;35;1;0;1;0
Apolinario Figueroa  al 700 , Piso 8;Caballito Norte, Caballito;$ 550.000;$ 95.000 Expensas;40;2;1;1;0
Cabildo 235;Belgrano, Capital Federal;$ 415.000;$ 125.000 Expensas;37;1;0;1;0
Rodriguez Peña 1100;Recoleta, Capital Federal;$ 900.000;$ 232.000 Expensas;135;3;2;2;0
Billinghurst  al 1400;Palermo, Capital Federal;$ 800.000;$ 194.000 Expensas;100;3;2;2;0
Carlos Pellegrini 1000;Retiro, Capital Federal;$ 450.000;$ 127.000 Expensas;32;1;0;1;0
Departamento Monoambiente EN Alquiler Recoleta;Recoleta, Capital Federal;USD 450;;35;1;1;1;0
Rivadavia 6000;Caballito, Capital Federal;USD 1.200;;99;3;2;1;0
Departamento DOS Ambientes EN Palermo Hollywood EN Alquiler;Palermo Hollywood, Palermo;$ 780.000;$ 130.000 Expensas;42;2;1;1;0
Chacabuco al 100;Monserrat, Capital Federal;$ 400.000;$ 120.000 Expensas;36;2;1;1;0
RIVADAVIA 8224;Mataderos, Capital Federal;$ 650.000;$ 55.000 Expensas;84;2;1;1;0
Soler al 3700;Palermo, Capital Federal;USD 700;$ 140.000 Expensas;53;2;1;1;1
Avenida Monroe 5600;Villa Urquiza, Capital Federal;$ 450.000;$ 80.500 Expensas;30;2;1;1;0
Bartolomé Mitre al 4300;Almagro, Capital Federal;USD 660;$ 130.000 Expensas;55;3;2;1;0
José Hernández al 1300;Belgrano C, Belgrano;USD 900;$ 160.000 Expensas;30;1;0;1;0
Valentin Gomez al 3000;Once, Capital Federal;$ 700.000;$ 100.000 Expensas;110;4;3;3;0
Vera 1430;Villa Crespo, Capital Federal;$ 450.000;$ 50.000 Expensas;34;1;0;1;0
Crisólogo Larralde 3710;Saavedra, Capital Federal;$ 800.000;$ 200.000 Expensas;50;2;1;1;1
Gregorio de Laferrere  al 6600;Mataderos, Capital Federal;$ 480.000;$ 7.000 Expensas;50;3;2;1;0
Donado 1900;Villa Urquiza, Capital Federal;$ 550.000;$ 160.000 Expensas;41;1;0;1;0
Ecuador 600;Barrio Norte, Capital Federal;USD 850;$ 140.000 Expensas;110;5;4;2;0
Dorrego al 2200;Palermo Hollywood, Palermo;USD 1.200;$ 180.000 Expensas;78;3;2;2;0
Avda Cordoba 2500;Balvanera, Capital Federal;$ 400.000;$ 79.500 Expensas;34;2;1;0;0
Doblas al 400;Parque Rivadavia, Caballito;$ 720.000;$ 195.000 Expensas;60;3;2;1;0
Doblas al 400;Almagro, Capital Federal;$ 720.000;$ 195.000 Expensas;60;3;2;1;0
Valle al 100;Caballito, Capital Federal;$ 390.000;$ 92.000 Expensas;35;2;1;1;0
José A. Cabrera 3400;Barrio Norte, Capital Federal;$ 490.000;$ 140.000 Expensas;40;1;0;1;0
Avenida Teniente General Donato Álvarez 400;Caballito, Capital Federal;$ 530.000;$ 100.000 Expensas;42;1;0;1;0
Bulnes 1600;Palermo, Capital Federal;$ 900.000;$ 150.000 Expensas;56;3;2;1;0
Ecuador 600;Barrio Norte, Capital Federal;USD 850;$ 140.000 Expensas;110;4;3;2;0
Beruti 2900;Barrio Norte, Capital Federal;$ 450.000;$ 156.000 Expensas;39;2;1;1;0
Av Cramer 2298;Belgrano, Capital Federal;$ 700.000;$ 259.000 Expensas;67;3;2;1;0
Balbastro al 400;Boedo, Capital Federal;$ 350.000;$ 23.000 Expensas;48;2;1;1;0
Rivadavia 1500;Congreso, Capital Federal;$ 590.000;$ 210.000 Expensas;70;3;2;1;0
Avenida Santa Fe 3300;Palermo, Capital Federal;USD 580;$ 295.000 Expensas;81;4;3;1;0
Arroyo al 800;Retiro, Capital Federal;USD 1.850;$ 900.000 Expensas;128;4;4;3;1
Irigoyen 2181;Versalles, Capital Federal;$ 350.000;$ 30.000 Expensas;39;2;0;1;0
San Martin 491;San Nicolás, Capital Federal;$ 500.000;$ 151.154 Expensas;44;2;1;1;0
Ecuador al 1300;Barrio Norte, Capital Federal;$ 320.000;$ 100.000 Expensas;28;1;0;1;0
MATIENZO 1800;Las Cañitas, Palermo;$ 800.000;$ 190.000 Expensas;45;2;1;1;1
Álvarez Thomas;Colegiales, Capital Federal;$ 390.000;$ 90.000 Expensas;50;1;0;1;0
Charcas 5152;Palermo Hollywood, Palermo;$ 470.000;$ 115.000 Expensas;36;1;0;1;0
Av. Congreso 2000;Núñez, Capital Federal;USD 500;$ 187.500 Expensas;51;2;1;1;0
UGARTECHE 2800;Palermo, Capital Federal;USD 2.000;$ 700.000 Expensas;190;4;3;2;1
Guatemala 5600;Palermo, Capital Federal;$ 580.000;$ 242.000 Expensas;48;2;1;1;0
TERRERO 1076;Flores Norte, Flores;$ 850.000;$ 110.000 Expensas;70;3;2;1;0
Centenera 417 5ºB (valle - Hualfin);Caballito, Capital Federal;$ 490.000;$ 131.600 Expensas;47;2;1;1;0
Malabia 1400;Palermo, Capital Federal;$ 400.000;$ 70.000 Expensas;35;2;1;1;0
Av. Pedro Goyena 1578;Caballito Sur, Caballito;$ 570.000;$ 150.000 Expensas;51;2;1;1;0
Cabello 3300;Palermo Chico, Palermo;$ 700.000;$ 200.000 Expensas;50;2;1;1;0
Thames al 600;Villa Crespo, Capital Federal;$ 850.000;;60;3;2;1;1
Av. Rivadavia 6000;Caballito, Capital Federal;USD 900.000;$ 290.000 Expensas;100;4;3;3;0
Pico y 11 de Septiembre Lindo Monoambiente    con Patio  Detalles de Categoria en Alquiler. Al Frente con Balcón, Conexion de Lavarropas., El Edificio Posee Parrilla y Seguridasd 24 hs;Núñez, Capital Federal;$ 480.000;$ 120.000 Expensas;34;1;0;1;0
Armenia 2300;Palermo, Capital Federal;$ 520.000;$ 98.000 Expensas;0;2;1;1;0
Paunero 2700;Palermo Chico, Palermo;$ 400.000;$ 150.000 Expensas;35;1;0;1;0
Avenida Pueyrredón al 900;Barrio Norte, Capital Federal;$ 440.000;$ 88.000 Expensas;40;2;1;1;0
Paso al 600;Balvanera, Capital Federal;$ 485.000;$ 183.000 Expensas;45;2;1;1;0
Independencia al 2200;San Cristobal, Capital Federal;$ 350.000;$ 120.000 Expensas;32;1;0;1;0
Pacheco de Melo 2970;Barrio Norte, Capital Federal;$ 280.000;$ 60.000 Expensas;21;1;0;1;0
Bolívar 1600;Barracas, Capital Federal;$ 1.400.000;$ 250.000 Expensas;71;3;2;2;1
Pacheco de Melo al 2700;Recoleta, Capital Federal;$ 400.000;$ 60.000 Expensas;33;2;1;1;0
Tucuman  al 2000;Balvanera, Capital Federal;$ 600.000;$ 75.000 Expensas;40;1;0;1;0
Tucuman  al 2000;Balvanera, Capital Federal;$ 700.000;$ 75.000 Expensas;40;1;0;1;0
Niceto Vega al 5900;Palermo Hollywood, Palermo;USD 900;$ 250.000 Expensas;50;2;1;1;1
Paunero 2700;Palermo Chico, Palermo;$ 480.000;$ 114.300 Expensas;42;2;1;1;0
Avenida Córdoba 1300;San Nicolás, Capital Federal;$ 1.100.000;$ 290.000 Expensas;100;4;3;2;0
Triplex en Venta y Alquiler en Palermo 4 dormitorios, Juez Tedin 3100;Palermo Chico, Palermo;USD 10.000;;500;5;4;4;2
Melincue al 2600;Villa del Parque, Capital Federal;$ 650.000;$ 135.000 Expensas;45;2;1;1;0
Avellaneda 1863;Flores, Capital Federal;$ 300.000;$ 85.000 Expensas;23;1;0;1;0
Salta 600;San Telmo, Capital Federal;$ 350.000;$ 83.000 Expensas;24;1;0;1;0
Alvarez Jonte 1647;La Paternal, Capital Federal;$ 700.000;;86;4;3;1;0
Planes 683;Cid Campeador, Caballito;$ 620.000;$ 70.000 Expensas;42;2;1;1;0
Rivadavia 8941;Velez Sarsfield, Capital Federal;$ 430.000;$ 88.000 Expensas;35;2;1;1;0
Leiva 4000;Chacarita, Capital Federal;USD 900;;64;3;2;1;0
Agüero al 1200;Recoleta, Capital Federal;USD 730;$ 155.000 Expensas;84;4;3;1;0
Nuñez 5917;Villa Urquiza, Capital Federal;$ 570.000;$ 120.000 Expensas;110;2;1;1;0
Salta al 700;Monserrat, Capital Federal;$ 550.000;$ 104.000 Expensas;57;2;1;1;0
Pieres  1400 3°;Mataderos, Capital Federal;$ 380.000;$ 25.000 Expensas;24;2;1;1;0
Av Santa fe al 3601;Botánico, Palermo;$ 850.000;;48;1;1;1;0
Moldes 1424;Barrio Chino, Belgrano;$ 850.000;$ 246.000 Expensas;70;3;2;1;1
Rodriguez Peña  90 7º;Congreso, Capital Federal;$ 450.000;$ 136.700 Expensas;40;2;1;1;0
rojas;Villa Crespo, Capital Federal;$ 400.000;$ 105.000 Expensas;38;2;1;1;0
